Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778893456,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778893457,50,,Aggregated,0.000000,0.000000,11,14,17,18,25,40,53,62,72,72,72,993,993,11,13.89424790733961,0.5852009999216534,71.90518500010512,0.0
1778893458,100,,Aggregated,0.000000,0.000000,52,55,57,59,68,71,87,89,93,95,95,2456,2456,52,40.563879706022625,0.5852009999216534,94.56294299980073,0.0
1778893459,150,,Aggregated,103.000000,103.000000,56,76,88,100,140,150,170,180,190,200,200,3608,3608,56,66.22708286889805,0.5852009999216534,195.97736100058682,0.0
1778893460,200,,Aggregated,540.500000,540.500000,84,110,120,130,150,160,180,190,190,200,200,5081,5081,84,83.49049292481472,0.5852009999216534,195.97736100058682,0.0
1778893461,250,,Aggregated,844.333333,844.333333,110,130,150,150,180,190,230,240,240,250,250,6477,6477,110,102.27169258746383,0.5852009999216534,246.91797600007703,0.0
1778893462,300,,Aggregated,915.750000,915.750000,120,150,180,190,200,210,230,240,240,250,250,8017,8017,120,116.33381317937229,0.5852009999216534,246.91797600007703,0.0
1778893463,350,,Aggregated,1040.400000,1040.400000,140,190,200,200,210,230,270,280,290,290,290,9610,9610,140,132.25084773735645,0.5852009999216534,290.6788399996003,0.0
1778893464,400,,Aggregated,1097.833333,1097.833333,160,200,210,220,240,260,300,310,310,310,310,11212,11212,160,148.2829777616877,0.5852009999216534,314.962037999976,0.0
1778893465,450,,Aggregated,1155.285714,1155.285714,190,210,220,240,280,300,320,330,330,330,330,12708,12708,190,164.15202075771347,0.5852009999216534,333.2249690001845,0.0
1778893466,500,,Aggregated,1205.375000,1205.375000,190,220,240,250,310,370,520,540,560,570,570,13896,13896,190,184.07401512737732,0.5852009999216534,567.4135740000565,0.0
1778893467,500,,Aggregated,1248.666667,1248.666667,200,230,280,290,340,430,520,540,560,570,570,15359,15359,200,199.66510983905323,0.5852009999216534,567.4135740000565,0.0
1778893468,500,,Aggregated,1278.500000,1278.500000,210,250,290,310,330,420,510,540,560,570,570,16897,16897,210,209.51395730052892,0.5852009999216534,567.4135740000565,0.0
1778893469,500,,Aggregated,1385.900000,1385.900000,210,280,300,320,390,490,560,590,620,620,630,17733,17733,210,223.22397002605467,0.5852009999216534,625.7281389998752,0.0
1778893470,500,,Aggregated,1437.700000,1437.700000,220,290,310,320,430,530,560,590,620,620,630,19226,19226,220,236.17697216014952,0.5852009999216534,625.7281389998752,0.0
1778893472,500,,Aggregated,1438.900000,1438.900000,240,290,320,330,430,530,560,590,620,620,630,20667,20667,240,244.69791178148822,0.5852009999216534,625.7281389998752,0.0
1778893473,500,,Aggregated,1403.800000,1403.800000,250,310,330,350,430,530,560,590,620,620,630,22152,22152,250,251.37209587184148,0.5852009999216534,625.7281389998752,0.0
1778893474,500,,Aggregated,1408.000000,1408.000000,280,320,330,340,420,520,560,580,620,620,630,23680,23680,280,255.8963106431181,0.5852009999216534,625.7281389998752,0.0
1778893475,500,,Aggregated,1405.400000,1405.400000,290,320,330,350,440,530,560,580,620,620,630,24824,24824,290,263.9122947898013,0.5852009999216534,625.7281389998752,0.0
1778893476,500,,Aggregated,1402.600000,1402.600000,290,320,330,350,430,530,550,580,620,620,630,26373,26373,290,267.7346374531153,0.5852009999216534,625.7281389998752,0.0
1778893477,500,,Aggregated,1354.100000,1354.100000,290,330,350,360,430,530,550,580,620,620,630,27680,27680,290,272.7503288928114,0.5852009999216534,625.7281389998752,0.0
1778893478,500,,Aggregated,1353.300000,1353.300000,300,330,350,370,430,520,550,580,620,620,630,28974,28974,300,277.4841461933461,0.5852009999216534,625.7281389998752,0.0
1778893479,500,,Aggregated,1366.300000,1366.300000,310,330,350,360,420,510,550,570,620,620,630,30591,30591,310,279.7417029052007,0.5852009999216534,625.7281389998752,0.0
1778893480,500,,Aggregated,1346.300000,1346.300000,310,330,350,360,420,500,550,570,620,620,630,32140,32140,310,281.72640120743665,0.5852009999216534,625.7281389998752,0.0
1778893481,500,,Aggregated,1358.100000,1358.100000,310,330,350,360,410,490,550,570,620,620,630,33757,33757,310,282.71957516832083,0.5852009999216534,625.7281389998752,0.0
1778893482,500,,Aggregated,1429.700000,1429.700000,310,330,350,360,410,480,550,560,610,620,630,35275,35275,310,285.18688094985225,0.5852009999216534,625.7281389998752,0.0
